year,certificate,movielist
2015,18,Carol
1998,R,Ronin
1992,U,A River Runs Through It
2014,PG,The Book of Life
2007,R,An American Crime
1942,Not Rated,Cat People
1985,A,Re-Animator
2011,U,Rango
1990,UA,Pump Up the Volume
1988,UA,Willow
1998,UA,Ringu
2017,R,The Death of Stalin
2001,R,Frailty
2006,U,The Fountain
1995,A,Strange Days
1985,Not Rated,A Room with a View
2011,U,Kung Fu Panda 2
1989,U,Major League
2003,A,Cold Mountain
1984,UA,Top Secret!
I 2022,PG-13,Till
2002,UA,We Were Soldiers
2004,UA,Friday Night Lights
2007,R,Fracture
1996,UA,Swingers
1992,R,Bitter Moon
1983,A,The Dead Zone
2016,R,Anthropoid
2009,PG,The Young Victoria
2023,UA,Satyaprem Ki Katha
2016,U,Finding Dory
1941,Not Rated,The Wolf Man
1971,U,The Andromeda Strain
1969,A,The Italian Job
2008,A,RocknRolla
I 2019,R,The Report
1988,UA,Dead Ringers
1989,A,"Sex, Lies, and Videotape"
1961,U,The Parent Trap
2004,A,Team America: World Police
1993,UA,In the Line of Fire
1992,Not Rated,The Crying Game
1985,UA,Silverado
1991,U,The Doors
2015,A,Steve Jobs
2008,Not Rated,The Bank Job
2017,R,T2 Trainspotting
1997,UA,The Full Monty
1959,U,Sleeping Beauty
2013,A,August: Osage County
1998,PG-13,The Mighty
2013,U,The Croods
1997,U,The Rainmaker
2020,UA,The Courier
2014,R,Turist
2022,R,Beurokeo
1989,Not Rated,Born on the Fourth of July
2000,Not Rated,Quills
2012,U,Rise of the Guardians
2019,UA,A Beautiful Day in the Neighborhood
2012,UA 16+,Stuck in Love
2010,PG-13,The Ghost Writer
2011,U,War Horse
2002,U,Spirit: Stallion of the Cimarron
1999,R,Go
1966,A,Django
1981,U,The Fox and the Hound
1983,Not Rated,Bad Boys
2018,U,Christopher Robin
1985,Not Rated,Runaway Train
2005,R,Breakfast on Pluto
1991,U,Star Trek VI: The Undiscovered Country
2017,U,A Dog's Purpose
2007,A,Michael Clayton
2000,UA,Pay It Forward
2005,R,Brick
I 2017,Not Rated,Columbus
1997,R,Chasing Amy
1972,U,Meng long guo jiang
2013,A,Lee Daniels' the Butler
1971,U,Vanishing Point
2002,U,About Schmidt
2000,UA,Men of Honor
2004,PG-13,Speak
I 1983,Not Rated,Angst
1973,A,Magnum Force
1986,A,The Hitcher
2019,Not Rated,The Professor and the Madman
1996,R,Brassed Off
2011,UA,The Best Exotic Marigold Hotel
1994,R,Muriel's Wedding
2023,A,The Kerala Story
1959,Not Rated,Operation Petticoat
2010,R,Animal Kingdom
1999,R,Arlington Road
2016,PG-13,The Light Between Oceans
2017,Not Rated,Beomjoidosi
1941,G,Dumbo
2000,U,Love & Basketball
2011,Not Rated,Mientras duermes
1988,U,Eight Men Out
2015,U,The Man Who Knew Infinity
2014,PG-13,St. Vincent
1961,Not Rated,The Misfits
1990,Not Rated,State of Grace
1965,Not Rated,The Great Race
I 2017,UA,The Wife
1954,Not Rated,"20,000 Leagues Under the Sea"
2006,R,Candy
2021,7,Wish Dragon
1984,U,Birdy
2009,R,Crazy Heart
2021,18,The Witcher: Nightmare of the Wolf
1994,PG,The Hudsucker Proxy
2015,R,Dope
2014,R,'71
1966,U,Fahrenheit 451
1970,A,El Topo
1987,A,Broadcast News
2016,Not Rated,The Siege of Jadotville
2019,Not Rated,J'accuse
2019,R,Honey Boy
1998,PG-13,Smoke Signals
2008,Not Rated,Che: Part One
2018,Not Rated,Dogman
2005,Not Rated,Manderlay
2020,PG-13,Words on Bathroom Walls
2020,R,Minamata
2009,R,Harry Brown
2009,Not Rated,Polytechnique
2006,R,"Paris, je t'aime"
1965,Not Rated,In Harm's Way
1986,UA,Children of a Lesser God
2008,PG-13,The Secret Life of Bees
2021,16,RurÃ´ni Kenshin: Sai shÃ»shÃ´ - The Final
2000,R,Wonder Boys
2012,R,Ruby Sparks
2017,16,Sin-gwa ham-kke: Jwi-wa beol
2007,R,Mongol
I 1970,Not Rated,Waterloo
2014,PG-13,Testament of Youth
II 2018,R,Girl
1957,U,Old Yeller
2015,R,The End of the Tour
2015,U,Bajirao Mastani
2003,PG-13,A Mighty Wind
2013,UA,Yeh Jawaani Hai Deewani
2004,R,Mean Creek
1992,PG,Strictly Ballroom
2019,R,Dolemite Is My Name
1979,Not Rated,Quadrophenia
2018,Not Rated,The Tale
1976,Not Rated,The Pink Panther Strikes Again
2008,R,Joheunnom nabbeunnom isanghannom
1986,U,The Transformers: The Movie
1971,Not Rated,The Beguiled
1951,U,An American in Paris
1971,Not Rated,Two-Lane Blacktop
1997,R,Eve's Bayou
2010,PG,Secretariat
2018,PG,Stan & Ollie
1961,Not Rated,El Cid
1972,UA,Jing wu men
2009,R,Los abrazos rotos
1994,Not Rated,Nattevagten
2012,R,The Sessions
1983,A,"Merry Christmas, Mr. Lawrence"
2022,UA 13+,Apollo 10 1/2: A Space Age Adventure
1987,U,The Brave Little Toaster
1988,Not Rated,Talk Radio
1944,Not Rated,The Uninvited
2017,Not Rated,First They Killed My Father
1931,Not Rated,Little Caesar
1965,Not Rated,The Ipcress File
2021,13,"Batman: The Long Halloween, Part One"
2006,U,Glory Road
2003,R,De grÃ¸nne slagtere
1990,UA,Reversal of Fortune
1993,UA,Arizona Dream
2013,Not Rated,Kvinden i buret
2006,R,Wristcutters: A Love Story
2002,Not Rated,Russkiy kovcheg
1994,PG-13,The Madness of King George
1969,Not Rated,Cactus Flower
IV 2012,Not Rated,Broken
II 2010,R,Conviction
2019,Not Rated,Babyteeth
1975,Not Rated,Hard Times
2006,PG-13,Peaceful Warrior
2004,R,The Woodsman
2022,7,Rescued by Ruby
2021,Not Rated,BoÃ®te noire
1973,A,Pat Garrett & Billy the Kid
2017,UA,Ittefaq
2010,Not Rated,Copie conforme
1994,A,Death and the Maiden
1953,U,Julius Caesar
2012,PG-13,Beasts of the Southern Wild
2007,R,In the Valley of Elah
2021,R,Hytti nro 6
2010,R,Beginners
2012,UA,Talaash
2013,R,The Physician
2020,18,Raat Akeli Hai
1966,Not Rated,Grand Prix
2019,UA,Petta
2018,R,Private Life
I 2012,PG-13,Barbara
1991,Not Rated,Defending Your Life
2014,Not Rated,Ggeutggaji ganda
2008,U,Rab Ne Bana Di Jodi
1973,A,Scarecrow
1991,U,Fei ying gai wak
2005,U,Fainaru fantajÃ® sebun adobento chirudoren
2015,Not Rated,El Club
2017,UA,Salinjaui gieokbeob
1984,Not Rated,A Soldier's Story
1988,R,Drowning by Numbers
1980,Not Rated,Stardust Memories
2006,R,La science des rÃªves
1970,A,The Ballad of Cable Hogue
1949,Approved,D.O.A.
2011,Not Rated,Le Havre
1997,PG,The Spanish Prisoner
2017,A,Una Mujer FantÃ¡stica
2018,UA,UtÃ¸ya 22. juli
1976,Not Rated,L'aile ou la cuisse
1949,Not Rated,She Wore a Yellow Ribbon
2021,R,"Batman: The Long Halloween, Part Two"
1953,Not Rated,Calamity Jane
1972,Not Rated,Avanti!
2011,Not Rated,Wild Bill
1987,U,House of Games
1997,PG,Mrs Brown
1981,Not Rated,Diva
1966,Not Rated,The Fortune Cookie
2014,Not Rated,La isla mÃ­nima
2011,PG-13,A Better Life
1965,Not Rated,The Cincinnati Kid
1953,U,I Confess
2017,R,Lean on Pete
2001,U,Metoroporisu
I 2018,Not Rated,Campeones
1947,Not Rated,Gentleman's Agreement
1997,PG-13,The Apostle
1958,Not Rated,Shadows
2000,PG-13,The Dish
1954,Not Rated,Animal Farm
I 2017,UA,Mom
1983,U,Educating Rita
2017,Not Rated,Toivon tuolla puolen
1971,Not Rated,... continuavano a chiamarlo TrinitÃ 
2005,R,Me and You and Everyone We Know
2019,Not Rated,Dylda
1982,Not Rated,The Draughtsman's Contract
1991,UA,Wong Fei-Hung
1974,Not Rated,The Yakuza
1999,PG-13,Sweet and Lowdown
1978,Not Rated,La Cage aux folles
I 2015,PG-13,Spare Parts
2008,Not Rated,Flammen & Citronen
2008,PG,The Express
2006,Not Rated,Death Note - Desu nÃ´to: The Last Name
2004,R,Modigliani
2009,Not Rated,Soul Kitchen
1997,UA,Shin seiki Evangelion GekijÃ´-ban: Shito shinsei
2010,Not Rated,Mine vaganti
2001,R,Tape
1969,PG,Take the Money and Run
1988,Not Rated,Another Woman
2013,A,Table No.21
2017,UA,Toilet - Ek Prem Katha
1930,Not Rated,L'Ã¢ge d'or
2007,Not Rated,Cidade dos Homens
1948,Not Rated,Mr. Blandings Builds His Dream House
2001,R,Lantana
1998,R,Savior
2010,U,Band Baaja Baaraat
2008,Not Rated,Berlin Calling
2019,Not Rated,La odisea de los giles
2017,Not Rated,Salyut-7
1939,Not Rated,Gunga Din
2009,R,Mother and Child
2015,A,NH10
1919,Not Rated,Broken Blossoms or The Yellow Man and the Girl
2004,R,It's All Gone Pete Tong
2002,Not Rated,Amen.
2015,Not Rated,Dragon Ball Z: Doragon bÃ´ru Z - Fukkatsu no 'F'
1987,Not Rated,Ying hung boon sik II
2011,A,No One Killed Jessica
2010,PG-13,Des hommes et des dieux
1993,R,Tai gik Cheung Sam Fung
2008,Not Rated,Il divo
2015,R,Dheepan
2015,R,HrÃºtar
2013,Not Rated,Il capitale umano
2005,Not Rated,De battre mon coeur s'est arrÃªtÃ©
2006,Not Rated,Den brysomme mannen
2000,R,Happy Accidents
2007,Not Rated,99 francs
2020,UA,Angrezi Medium
2003,R,De zaak Alzheimer
1991,Not Rated,Johnny Stecchino
1996,PG-13,Mystery Science Theater 3000: The Movie
2011,R,Starbuck
2014,Not Rated,Theeb
2006,UA,Phir Hera Pheri
I 2013,UA,D-Day
2017,UA,Jolly LLB 2
2000,R,La comunidad
2000,R,Le goÃ»t des autres
2013,Not Rated,La cage dorÃ©e
2016,Not Rated,La pazza gioia
1968,Not Rated,AstÃ©rix et ClÃ©opÃ¢tre
1990,R,Le mari de la coiffeuse
2005,UA,Tsotsi
1998,A,Ghulam
2016,UA,Te3n
2003,UA,Tere Naam
2010,Not Rated,Tere Bin Laden
2019,UA,Batla House
2003,R,La finestra di fronte
2008,U,Dasavatharam
2001,R,Musa
2012,A,Business Man
2011,Not Rated,Ask TesadÃ¼fleri Sever
2023,R,Saw X
I 2023,UA,Barbie
2004,A,Mean Girls
I 2022,18,Babylon
2023,U,The Super Mario Bros. Movie
2019,A,Midsommar
I 2010,16,Remember Me
1980,A,Dressed to Kill
I 2022,16,Prey
2008,A,Vicky Cristina Barcelona
2021,UA,Free Guy
I 2023,UA,Jailer
2022,UA 16+,Glass Onion
1982,UA,Fast Times at Ridgemont High
2021,UA,Ghostbusters: Afterlife
1999,A,The Mummy
2007,13,The Mist
2015,Not Rated,Bone Tomahawk
2003,A,The Dreamers
2021,A,The French Dispatch
2012,U,Pitch Perfect
1986,UA,Little Shop of Horrors
2016,U,Sing
2002,UA,The Ring
1990,A,Pretty Woman
2017,A,American Made
2013,A,Snowpiercer
1983,U,The Big Chill
2020,18,The Devil All the Time
2006,A,Cashback
1998,R,Blade
2008,R,Tropic Thunder
2021,A,Licorice Pizza
1994,A,In the Mouth of Madness
2018,16,Bad Times at the El Royale
2015,R,The Lobster
2019,18,Dronningen
2012,A,Dredd
I 2015,UA,The Intern
2021,16,Wrath of Man
2007,UA,Pirates of the Caribbean: At World's End
2013,UA,Man of Steel
I 2007,A,Shooter
1988,UA,Coming to America
2009,UA,State of Play
1995,UA,Jumanji
2018,UA,Sicario: Day of the Soldado
1987,UA,Spaceballs
1981,UA,Escape from New York
2020,A,Shiva Baby
1996,UA,The Frighteners
1973,U,Don't Look Now
2013,UA,Iron Man Three
2023,PG-13,Jesus Revolution
2004,UA,Anchorman: The Legend of Ron Burgundy
1984,A,Nineteen Eighty-Four
1993,U,Mrs. Doubtfire
2015,A,Fast & Furious 7
I 2009,UA,Brothers
2016,A,Don't Breathe
2005,UA,The 40 Year Old Virgin
2012,A,The Master
2019,R,Booksmart
1998,A,There's Something About Mary
2011,U,Melancholia
1992,U,Batman Returns
2008,UA,Forgetting Sarah Marshall
1989,U,Uncle Buck
1990,Not Rated,Tremors
1983,U,WarGames
2016,A,War Dogs
2022,7,DC League of Super-Pets
1990,A,Ghost
1999,Not Rated,Ãdishon
2009,Not Rated,The Princess and the Frog
2004,UA,"I, Robot"
1971,PG-13,Big Jake
2012,R,Seven Psychopaths
1994,A,Four Weddings and a Funeral
1985,Not Rated,Better Off Dead...
1998,U,Ever After
2000,U,Chicken Run
2020,16,Kol
2012,U,Brave
1974,Not Rated,The Longest Yard
1979,Not Rated,The Jerk
1995,A,Desperado
2011,UA,Real Steel
1997,Not Rated,Anastasia
2018,UA 13+,On the Basis of Sex
1997,UA,Cube
2022,12+,Mrs. Harris Goes to Paris
2006,UA,Deja Vu
2010,R,Never Let Me Go
2007,U,Enchanted
I 2010,UA,Let Me In
1963,Not Rated,McLintock!
1983,A,Rumble Fish
1985,A,Day of the Dead
2001,UA,Spy Game
2003,U,Elf
2011,18,Margin Call
1972,U,The Poseidon Adventure
2015,UA,Everest
2021,18,The Unforgivable
1951,A,The Thing from Another World
1987,UA,Moonstruck
2008,UA,Valkyrie
2001,UA 16+,Monster's Ball
2014,UA,"Love, Rosie"
1974,A,Black Christmas
I 2014,18,Wild
2007,UA,Live Free or Die Hard
2015,PG-13,Far from the Madding Crowd
1959,U,The Horse Soldiers
2021,R,Red Rocket
2015,A,The Danish Girl
2016,18,Allied
1987,UA,No Way Out
2002,U,About a Boy
1998,UA,Shakespeare in Love
1970,U,The AristoCats
1995,U,Tommy Boy
2016,UA,Deepwater Horizon
2016,U,Kung Fu Panda 3
1973,Not Rated,The Three Musketeers
2017,18,Brawl in Cell Block 99
2006,UA,Gwoemul
2017,A,The Square
2017,PG-13,The Glass Castle
2003,R,Elephant
I 2013,18,Side Effects
2013,R,Locke
2002,UA,John Q
2019,A,Fighting with My Family
2020,18,De slag om de Schelde
1988,A,The Accused
2011,PG,We Bought a Zoo
2018,UA,Creed II
2020,A,The King of Staten Island
1990,A,Die Hard 2
2013,A,The Spectacular Now
I 2008,R,Defiance
2022,R,To Leslie
2002,R,Phone Booth
1989,A,Parenthood
2005,PG-13,Lords of Dogtown
1993,U,Alive
2006,U,Flags of Our Fathers
2003,UA,"Janghwa, Hongryeon"
I 1999,A,Payback
2018,18,Manyeo
2021,16,The Dig
2016,PG,Miracles from Heaven
1970,A,Catch-22
2009,R,Agora
2004,U,The SpongeBob SquarePants Movie
2009,R,Bakjwi
2010,R,Winter's Bone
1997,U,Seven Years in Tibet
2003,UA,Runaway Jury
1985,U,Out of Africa
I 2016,UA,Race
2006,U,Rocky Balboa
2013,R,Blue Ruin
1981,U,Chariots of Fire
1992,U,Sneakers
2021,PG,American Underdog
2011,A,The Ides of March
2014,R,99 Homes
I 2009,R,The Messenger
1988,U,The Adventures of Baron Munchausen
2019,R,Queen & Slim
1988,U,Bull Durham
I 2016,18,Elle
2018,PG,Leave No Trace
1999,UA,Three Kings
2009,A,The Time Traveler's Wife
1989,UA,Casualties of War
2008,UA,"Definitely, Maybe"
2011,Not Rated,Winnie the Pooh
1971,R,Il Decameron
1997,R,The Wings of the Dove
1963,U,The Sword in the Stone
1982,Not Rated,The Dark Crystal
2011,U,The Muppets
2003,R,Bad Santa
1979,Not Rated,Time After Time
2017,R,First Reformed
1971,A,Klute
2005,A,The Jacket
2007,R,Los cronocrÃ­menes
2021,PG,RyÃ» to sobakasu no hime
2006,A,Half Nelson
2018,R,If Beale Street Could Talk
2003,R,Ong-Bak
1996,R,Beautiful Girls
I 2021,R,Firebird
2011,R,Carnage
2003,U,Shattered Glass
2021,R,Madres paralelas
2002,G,Neko no ongaeshi
1964,A,Marnie
1960,G,Swiss Family Robinson
2018,18,Black Mirror: Bandersnatch
1983,A,Silkwood
1967,Not Rated,Dance of the Vampires
1993,UA,Benny & Joon
1999,R,Human Traffic
1982,Not Rated,Diner
1986,U,The Great Mouse Detective
2005,UA,Broken Flowers
2015,PG-13,Concussion
1986,Not Rated,Crossroads
1960,Not Rated,La maschera del demonio
1975,A,Night Moves
1953,Not Rated,Gentlemen Prefer Blondes
1994,R,Dellamorte dellamore
1955,U,Guys and Dolls
2019,Not Rated,Bad Education
1995,U,Balto
1969,Not Rated,La piscine
1997,R,Wag the Dog
1996,UA,Michael Collins
1962,Not Rated,Hatari!
1982,U,The Year of Living Dangerously
2009,R,Flickan som lekte med elden
1982,Not Rated,The World According to Garp
1971,PG,The Panic in Needle Park
2011,R,The Devil's Double
2012,Not Rated,Kon-Tiki
1992,R,American Me
2009,R,Nowhere Boy
2017,PG-13,Megan Leavey
2004,R,Kinsey
1971,PG-13,The Abominable Dr. Phibes
2000,A,Chopper
2017,UA,Goodbye Christopher Robin
2019,PG-13,First Cow
2002,UA,White Oleander
1970,Not Rated,Valerie a tÃ½den divu
2002,PG,Nicholas Nickleby
2022,UA,Dragon Ball Super: Super Hero
1964,Not Rated,6 donne per l'assassino
2010,16,It's Kind of a Funny Story
I 2013,PG-13,Tracks
2013,R,The Kings of Summer
2021,16,The White Tiger
2015,R,Tangerine
2004,UA 16+,Banlieue 13
1996,R,Sydney
1981,Not Rated,Southern Comfort
1970,Not Rated,L'uccello dalle piume di cristallo
2009,PG-13,Whatever Works
1998,R,Dangerous Beauty
2021,R,Ich bin dein Mensch
1980,U,My Bodyguard
2018,A,Can You Ever Forgive Me?
1959,Not Rated,On the Beach
1995,R,Nixon
2001,R,The Believer
1995,R,Safe
1957,Not Rated,Gunfight at the O.K. Corral
1987,U,Three O'Clock High
1939,Not Rated,Son of Frankenstein
1955,Not Rated,The Seven Year Itch
I 2017,PG-13,Breathe
1987,Not Rated,Barfly
1980,U,Gloria
1992,Not Rated,Benny's Video
2005,PG-13,Kinky Boots
I 2019,18,Mosul
1991,R,One False Move
2020,18,One Night in Miami...
2011,R,God Bless America
1992,PG-13,Orlando
2023,UA 16+,Mission Majnu
1999,R,Titus
1999,R,Two Hands
2007,R,Things We Lost in the Fire
1973,NC-17,La grande bouffe
2013,Not Rated,La VÃ©nus Ã  la fourrure
1966,Not Rated,The Chase
2011,UA,Don 2
1951,Not Rated,Quo Vadis
1965,Not Rated,Von Ryan's Express
1992,R,Como agua para chocolate
2013,R,The Railway Man
1932,Not Rated,The Most Dangerous Game
2014,R,Kraftidioten
2010,A,The Whistleblower
2021,Not Rated,El buen patrÃ³n
1981,U,Eye of the Needle
1993,U,Fearless
1987,NC-17,La ley del deseo
1978,Not Rated,The Driver
2010,Not Rated,Tsumetai nettaigyo
1973,Not Rated,Theatre of Blood
1977,U,Julia
2004,R,A Love Song for Bobby Long
2003,R,11:14
I 2018,R,Trial by Fire
1974,A,The Parallax View
1961,A,One-Eyed Jacks
1980,R,The Big Red One
2000,R,Before Night Falls
2015,R,45 Years
2002,R,Narc
1998,R,Thursday
2016,Not Rated,Gantz: O
1974,A,Female Trouble
2003,U,Koi... Mil Gaya
1965,Not Rated,Help!
1980,A,Brubaker
2015,Not Rated,Mon roi
2008,PG-13,Forever Strong
2014,R,5 to 7
1942,Not Rated,Saboteur
2017,R,Aus dem Nichts
2012,UA,Chasing Mavericks
2015,Not Rated,Le tout nouveau testament
1965,Not Rated,The Sons of Katie Elder
1973,A,Turks fruit
I 2014,R,Trash
2016,R,Julieta
1992,R,Belle Epoque
1992,PG-13,The Power of One
2014,PG-13,X+Y
2009,PG-13,Everybody's Fine
1999,Not Rated,Fantasia 2000
1996,R,Trees Lounge
2006,PG-13,Bella
I 2008,R,Nothing But the Truth
2014,Not Rated,FasandrÃ¦berne
1973,A,Sleeper
2013,U,Dragon Ball Z: Doragon bÃ´ru Z - Kami to Kami
2018,R,Wild Rose
I 2012,R,Into the White
2011,U,Arthur Christmas
2013,UA,Mandela: Long Walk to Freedom
2008,Not Rated,Bienvenue chez les Ch'tis
2014,R,Kajaki
2001,R,L.I.E.
1981,U,The Great Muppet Caper
2012,Not Rated,Pieta
2010,Not Rated,Les amours imaginaires
1983,Not Rated,Nati con la camicia
2012,Not Rated,Lore
2008,R,JCVD
1968,Not Rated,The Boston Strangler
1988,Not Rated,Bird
2010,Not Rated,Les petits mouchoirs
I 2009,PG-13,Adam
2006,R,Trailer Park Boys: The Movie
2011,R,Win Win
2020,18,Sala samobÃ³jcÃ³w. Hejter
2007,R,The Savages
1957,U,Love in the Afternoon
2010,R,Made in Dagenham
2019,R,Il traditore
2019,Not Rated,Marighella
2016,Not Rated,Mil-jeong
1994,R,Priest
I 2006,R,Venus
1988,UA,Ging chaat goo si juk jaap
2008,R,Wendy and Lucy
1950,U,Father of the Bride
2017,UA,Kaabil
2010,U,Enthiran
2004,Not Rated,Terkel i knibe
2007,PG-13,Shotgun Stories
2012,R,A Late Quartet
2002,PG-13,Ã la folie... pas du tout
2006,Not Rated,Iklimler
2009,Not Rated,Le Petit Nicolas
2019,Not Rated,Paddleton
2007,PG,Sukkar banat
2003,Not Rated,Tais-toi!
2014,Not Rated,Das finstere Tal
1997,R,In the Company of Men
2000,Not Rated,Code inconnu: RÃ©cit incomplet de divers voyages
2010,UA,Karthik Calling Karthik
2000,Not Rated,Sous le sable
2016,PG,PelÃ©: Birth of a Legend
1984,Not Rated,Non c'Ã¨ due senza quattro
2009,Not Rated,Looking for Eric
2013,Not Rated,Vi Ã¤r bÃ¤st!
1997,R,The Butcher Boy
1981,Not Rated,Chi trova un amico trova un tesoro
2005,R,9 rota
I 2000,R,Brother
2004,R,Stage Beauty
2016,Not Rated,Que Dios nos perdone
2009,R,Micmacs Ã  tire-larigot
1977,Not Rated,I due superpiedi quasi piatti
2006,U,Fanaa
1984,Not Rated,Â¿QuÃ© he hecho YO para merecer esto!!
2014,Not Rated,Bi KÃ¼Ã§Ã¼k EylÃ¼l Meselesi
2013,Not Rated,Tian zhu ding
2008,R,Frozen River
2013,R,Metallica Through the Never
2012,Not Rated,Ill Manors
2014,PG-13,Timbuktu
2012,R,Kapringen
1989,Not Rated,"Sono otoko, kyÃ´bÃ´ ni tsuki"
1999,U,HÃ´hokekyo tonari no Yamada-kun
2014,R,La French
2006,Not Rated,Shi gan
2012,Not Rated,Hannah Arendt
2018,UA,Sonu Ke Titu Ki Sweety
I 1998,R,Last Night
2005,Not Rated,El mÃ©todo
2005,Not Rated,Hak se wooi
2004,Not Rated,36 Quai des OrfÃ¨vres
2014,Not Rated,Myeong-ryang
2011,Not Rated,Hoshi o ou kodomo
2010,R,Klovn: The Movie
I 2018,UA,Blackmail
I 2016,UA,Wazir
1964,Not Rated,Le gendarme de Saint-Tropez
2020,PG,Khuda Haafiz
2007,Not Rated,Gruz 200
1942,Not Rated,Woman of the Year
2000,R,"Harry, un ami qui vous veut du bien"
2010,Not Rated,Les femmes du 6e Ã©tage
2009,U,Luck by Chance
2007,R,Goodbye Bafana
2010,UA,Raajneeti
2007,A,Shootout at Lokhandwala
2005,Not Rated,El aura
2009,U,Paa
2011,R,Choi-jong-byeong-gi hwal
2015,UA,Gabbar Is Back
2005,Not Rated,Barfuss
2004,Not Rated,Crimen Ferpecto
2007,UA,Namastey London
1986,Not Rated,AstÃ©rix chez les Bretons
2005,Not Rated,Hwal
2023,R,The Equalizer 3
2023,U,Elemental
2023,R,Bottoms
2022,R,Pearl
2022,A,Barbarian
1999,18,American Pie
2023,R,"Red, White & Royal Blue"
2015,R,The VVitch: A New-England Folktale
2021,A,Last Night in Soho
1995,A,Kids
2021,A,The Fallout
2011,A,The Cabin in the Woods
I 2012,A,Prometheus
1983,U,The Outsiders
2017,18,The Killing of a Sacred Deer
1992,A,Basic Instinct
2023,A,Extraction 2
2008,A,Martyrs
2022,R,The Northman
2004,PG,Napoleon Dynamite
1996,UA,Matilda
2011,UA,The Adjustment Bureau
2012,UA,Hotel Transylvania
I 2017,A,The Foreigner
2015,A,Spy
2005,UA,Wedding Crashers
1996,UA,Independence Day
2011,UA,Thor
2007,UA,Transformers
2007,A,Death Proof
2022,A,The Unbearable Weight of Massive Talent
2013,A,We're the Millers
2012,UA,Jack Reacher
2013,UA,World War Z
2005,A,Constantine
1985,A,Fright Night
I 1987,U,Dirty Dancing
VI 2015,A,The Gift
1985,U,Pee-wee's Big Adventure
2023,R,A Good Person
1996,PG-13,Happy Gilmore
2009,A,Orphan
2010,UA,RED
2019,18,El hoyo
1986,R,Highlander
I 2016,UA,Passengers
2003,A,Underworld
2015,18,Green Room
2019,UA,Shazam!
1994,U,Stargate
1998,UA,Rush Hour
2017,UA,Logan Lucky
2003,Not Rated,Holes
2015,16,Demolition
2022,UA 7+,Roald Dahl's Matilda the Musical
2008,R,Burn After Reading
I 2013,UA,Oblivion
1997,UA,Austin Powers: International Man of Mystery
2009,A,Public Enemies
2011,UA,Super 8
1998,A,Fallen
2005,A,Hard Candy
2003,UA,Old School
1984,U,Sixteen Candles
2020,A,Greyhound
2010,A,Easy A
2008,A,Cloverfield
2014,R,The Drop
2022,UA 7+,Turning Red
2008,A,Body of Lies
2016,A,Grave
1992,U,Wayne's World
2012,UA,ParaNorman
2005,15+,Jarhead
2013,UA,Furious 6
2016,UA,Star Trek Beyond
1993,PG,Cool Runnings
1973,U,Soylent Green
2008,A,Rambo
2001,R,Super Troopers
2011,A,Tinker Tailor Soldier Spy
2018,A,Den of Thieves
2008,Not Rated,Bronson
2007,A,Planet Terror
1986,A,Henry: Portrait of a Serial Killer
2011,A,One Day
1953,U,The War of the Worlds
2020,18,Pieces of a Woman
I 2009,PG-13,9
2021,Not Rated,De uskyldige
1953,A,House of Wax
2018,A,The Mule
1977,U,Smokey and the Bandit
2012,UA,Chronicle
2018,UA,Ant-Man and the Wasp
2017,PG-13,The Upside
2018,U,Ralph Breaks the Internet
1984,U,The Bounty
1997,R,Cop Land
